,life_expectancy,alcohol,hepatitisB,measles,bmi,polio,diphtheria,hiv,total_expenditure,gdp,thinness_till19,inf_death,school,population,death_ratio
0,0.65,0.0005595970900951314,0.6565656565656566,0.008779604537397007,0.24773022049286644,0.06060606060606061,0.6565656565656566,0.001976284584980237,0.5670604586518415,0.004902624553025093,0.6323529411764706,0.03875,0.48792270531400966,0.02607431438367826,0.012137154460288893
1,0.5989999999999999,0.0005595970900951314,0.6262626262626263,0.003743124291507216,0.24124513618677046,0.5858585858585859,0.6262626262626263,0.001976284584980237,0.5684503127171646,0.005141247106895043,0.6433823529411765,0.04,0.48309178743961356,0.0002531820898293134,0.01211552217453505
2,0.5989999999999999,0.0005595970900951314,0.6464646464646465,0.0032714297669676888,0.23476005188067448,0.6262626262626263,0.6464646464646465,0.001976284584980237,0.5649756775538569,0.0053010861918425705,0.6507352941176471,0.04125,0.4782608695652174,0.02452483677873554,0.011618329214895739
3,0.595,0.0005595970900951314,0.6767676767676768,0.021203429675671976,0.2282749675745785,0.6767676767676768,0.6767676767676768,0.001976284584980237,0.592077831827658,0.005621746968986829,0.6580882352941176,0.043125,0.4734299516908213,0.002857310696104178,0.011279052891293983
4,0.5920000000000001,0.0005595970900951314,0.6868686868686869,0.022922832297380572,0.2230869001297017,0.6868686868686869,0.6868686868686869,0.001976284584980237,0.546907574704656,0.0005331523806562283,0.6691176470588235,0.044375,0.4589371980676329,0.0023021042657517905,0.011082230147695908
5,0.588,0.0005595970900951314,0.6666666666666666,0.015132264666276124,0.21660181582360571,0.6666666666666666,0.6666666666666666,0.001976284584980237,0.6393328700486448,0.004643083071199424,0.676470588235294,0.04625,0.4444444444444444,0.0022283466319483734,0.010787611645980744
6,0.586,0.0005595970900951314,0.6363636363636364,0.021766419914638506,0.21011673151750973,0.6363636363636364,0.6363636363636364,0.001976284584980237,0.6546212647671994,0.0037415711945967827,0.6838235294117648,0.048125,0.42995169082125606,0.00021975418912900741,0.010441632759229325
7,0.581,0.0016787912702853943,0.6464646464646465,0.012165153947398453,0.20363164721141375,0.6464646464646465,0.6464646464646465,0.001976284584980237,0.5788742182070883,0.0031329405588954905,0.6911764705882354,0.05,0.42028985507246375,0.002109526911200593,0.010264663805436338
8,0.575,0.0011191941801902629,0.6363636363636364,0.008680700846767751,0.19714656290531776,0.6363636363636364,0.6363636363636364,0.001976284584980237,0.467685892981237,0.0031033589595569747,0.698529411764706,0.05125,0.4057971014492754,0.020571627937774818,0.010293450573990719
9,0.573,0.0016787912702853943,0.6464646464646465,0.015139872642478375,0.1906614785992218,0.5858585858585859,0.5858585858585859,0.001976284584980237,0.5163307852675468,0.0022871318212802924,0.7058823529411765,0.0525,0.391304347826087,0.002001257023856877,0.01004836841746713
10,0.573,0.0011191941801902629,0.6666666666666666,0.00985993715811657,0.18417639429312582,0.5858585858585859,0.5858585858585859,0.001976284584980237,0.6045865184155663,0.00021224761231431198,0.7095588235294118,0.053125,0.3816425120772947,0.00019924732248358375,0.00979550618530674
11,0.57,0.0011191941801902629,0.6767676767676768,0.0035453169102487047,0.17898832684824906,0.050505050505050504,0.050505050505050504,0.001976284584980237,0.6108408617095205,0.001838854670036634,0.7169117647058824,0.054375,0.3285024154589372,0.01864111430960591,0.009636097544932828
12,0.567,0.0005595970900951314,0.6565656565656566,0.00607116500939585,0.17380025940337226,0.41414141414141414,0.41414141414141414,0.001976284584980237,0.6129256428075052,0.0016675671013218225,0.7242647058823529,0.054375,0.3140096618357488,0.0018277497491160735,0.00970187295479585
13,0.562,0.0005595970900951314,0.6464646464646465,0.018913428838794592,0.16861219195849547,0.36363636363636365,0.36363636363636365,0.001976284584980237,0.5392633773453787,0.0015762492929402416,0.7316176470588235,0.055,0.2995169082125604,0.01698787735415069,9.7541943035505e-05
14,0.5529999999999999,0.0005595970900951314,0.6363636363636364,0.06666108748411835,0.16342412451361868,0.35353535353535354,0.3333333333333333,0.001976284584980237,0.542043085476025,0.0009859383800801334,0.07720588235294118,0.055,0.285024154589372,0.002292724575041774,0.010274417999739889
15,0.5479999999999999,0.0005595970900951314,0.6262626262626263,0.04969530055309987,0.1582360570687419,0.24242424242424243,0.24242424242424243,0.001976284584980237,0.5698401667824877,0.0009612936504579103,0.08455882352941176,0.055,0.26570048309178745,0.00022703859790800405,0.010436987904799064
16,0.778,0.25741466144376046,1.0,0.0,0.7522697795071337,1.0,1.0,0.001976284584980237,0.4169562195969423,0.03318063988689735,0.04411764705882353,0.000625,0.6859903381642511,2.231540951469179e-05,0.2117310443490701
17,0.775,0.25237828763290426,0.98989898989899,0.0,0.7418936446173802,0.98989898989899,0.98989898989899,0.001976284584980237,0.40861709520500344,0.03839606035647994,0.04411764705882353,0.000625,0.6859903381642511,0.00022329630535544153,0.022889842632331903
18,0.772,0.26636821488528256,1.0,0.0,0.7328145265888457,1.0,1.0,0.001976284584980237,0.3933287004864489,0.037044739202266135,0.04779411764705883,0.000625,0.6859903381642511,0.00022382031905858845,0.24034334763948498
19,0.769,0.28763290430889754,1.0,6.847178582025395e-05,0.7237354085603113,1.0,1.0,0.001976284584980237,0.3884642112578179,0.035642499415919286,0.04779411764705883,0.000625,0.6859903381642511,2.273044691674178e-06,0.24606580829756797
20,0.7659999999999999,0.3005036373810856,1.0,0.0002130233336630123,0.714656290531777,1.0,1.0,0.001976284584980237,0.3968033356497568,0.037233167694057365,0.051470588235294115,0.000625,0.6425120772946861,0.00022815077448444716,0.25178826895565093
21,0.762,0.29546726357022945,1.0,7.60797620225044e-05,0.7042801556420234,1.0,1.0,0.001976284584980237,0.37109103544127864,0.004148254244495363,0.051470588235294115,0.000625,0.6038647342995169,0.0002251566312897699,0.2603719599427754
22,0.7609999999999999,0.3240067151650811,0.98989898989899,0.0,0.6939040207522699,0.98989898989899,0.98989898989899,0.001976284584980237,0.4023627519110493,0.03452246279526314,0.05514705882352941,0.000625,0.5893719806763285,0.002262625475255117,0.2603719599427754
23,0.753,0.3139339675433688,1.0,0.0,0.682230869001297,1.0,1.0,0.001976284584980237,0.4079221681723419,0.0036714742011583054,0.05882352941176471,0.000625,0.5797101449275363,0.00227792466589493,0.002861230329041488
24,0.759,0.31225517627308336,0.98989898989899,0.00016737547644950966,0.6705577172503243,1.0,0.98989898989899,0.001976284584980237,0.423905489923558,0.003047146893787418,0.05882352941176471,0.000625,0.5603864734299517,2.2967721558137217e-05,0.02575107296137339
25,0.742,0.2971460548405148,0.98989898989899,0.0005173423817530299,0.07522697795071336,0.9797979797979798,0.9797979797979798,0.001976284584980237,0.40722724113968034,0.00029477630093427957,0.0625,0.000625,0.5507246376811594,0.0023128844178631376,0.2832618025751073
